Margot Image

Resolution = 640*960

ResFactor       timeTaken(ms)           sumDistance
1               33200.39999999851       1038950400  
2               8474.5                  944332800
3               3218.89999999851        871833600
4               1667.7999999970198      929587200
5               1049                    983654400
6               672.2000000029802       893337600
7               538.5999999940395       1048166400
8               437.5                   1133568000
9               288.20000000298023      236544000
10              213.19999999552965      1000857600


1    29612.59999999404    208384452
2    7575.79999999702     209045182
3    2888.9000000059605   208254082
4    1514.5               209731319
5    957.0999999940395    208867347
6    606.5999999940395    209137058
7    451.09999999403954   208186768
8    362                  208383962
9    266.6000000089407    208695710
10   252.8999999910593    208130745


yugi

350*490

ResFactor       timeTaken(ms)           sumDistance
1               2498.10000000149        18857705
2               706.3999999985099       24588315
3               230.69999999552965      20390310
4               198.70000000298023      21656375
5               96.5                    19257515
6               54.30000000447035       113879215
7               26.100000001490116      130604600
8               45.399999998509884      20390310
9               29.700000002980232      2732035
10              31.200000002980232      18857705

Spiderman

Resolution = 681*383

ResFactor       timeTaken(ms)           sumDistance
1               5499.39999999851        722740533
2               1119.3999999985099      1103281290
3               461.59999999403954      1002864435
4               224.79999999701977      393842730
5               174.89999999850988      420707499
6               107.70000000298023      320551467
7               78.60000000149012       304902087
8               63.29999999701977       276733203
9               49.899999998509884      163014375
10              33.80000000447035       322638051

Wolf

Resolution: 1600*1200

ResFactor       timeTaken(ms)           sumDistance
1               103683.39999999851      3381120000
2               26079.39999999851       4081920000
3               12182.5                 3696000000
4               6334.39999999851        4072320000
5               3636.7000000029802      4112640000
6               2397.89999999851        1956480000
7               1777.5                  1219200000
8               1206.8999999985099      5218560000
9               1107.6000000014901      602880000
10              786.2000000029802       3559680000


Lego

1    1195.300000011921      10799250
2    262.70000000298023     9503340
3    169.8999999910593      4924458
4    73.20000000298023      10453674
5    74.09999999403954      11404008
6    44.20000000298023      3542154
7    24.19999998807907      2505426
8    9.300000011920929      4924458
9    6.5999999940395355     7775460
10    5.200000002980232     3196578
